"Product","Product Description","Product Type","Product Category"
Shaft-0SP10729,WORM SHAFT,Production,Shaft
lower frame Beam-594141301,L F BEAM,Production,lower frame Beam
Cylinder-D8515882,"4003 CL",Production,Cylinder
Gear Assembly-DYA0308134H002,GEAR ASSLY,Assembly,Gear Assembly
Gear Assembly-DYA0308330H002,GEAR ASSLY,Assembly,Gear Assembly
Piston-3161900064,BIG PISTON,Labour,Piston
Cylinder-20C94229/516,"200 CL",Labour,Cylinder
Cover-DYB0401834H001,COVER,Production,Cover
Lobe-1201000001507,LOBE,Labour,Lobe
Body-1201000001508,BODY,Labour,Body
Spindle-22REA020332P0001,SP M,Production,Spindle
Spindle-21VLD549099P001,SPND B,Production,Spindle
Casing-1/137,CRANK CASE,Labour,Casing
Gear Assembly-546243501,ECC GEAR BOX COMPLETE,Assembly,Gear Assembly
Frame Assembly-DYA0321735H001,"420 KV FRAME",Assembly,Frame Assembly
LHP-3363102127,MB1500 LHP,Production,LHP
Pulse Vesel-103/312,PULSE VESEL,Labour,Pulse Vesel
Rotor-1201000001516,ROTOR,Labour,Rotor
Rotor-1201000001515,ROTOR,Labour,Rotor
Head-1201000001503,HEAD 1,Labour,Head
Head-1201000001506,HEAD 2,Labour,Head
Bracket-1201000001502,BRACKET,Labour,Bracket
Cylinder-33001844,"320 CL",Production,Cylinder
Cross Head-33235100,CROSS HEAD,Production,Cross Head
Gear-33698060,PINION GEAR,Production,Gear
Guide-42GHV312308P0001,GUIDE,Production,Guide
Cylinder-5AA2I8030000,INJ COR CL,Labour,Cylinder
Support Stand-5A62A0139200,S STAND,Labour,Support Stand
Support Stand-5A62A0138100V,S STAND,Labour,Support Stand
Cylinder Assembly-61901073944,"110 HN CL ASSLY",Assembly,Cylinder Assembly
Pulse Vesel-103/308,PULSE VESEL,Labour,Pulse Vesel
Gear Assembly-DYA0308330H004,GEAR ASSLY,Assembly,Gear Assembly
Cover-DYB0406714H001,COVER,Production,Cover
Lever-1VYN402850-052,POLE LVR,Production,Lever
CC Assembly-1VYN401101-CC,TRIPPING SPRG ASSLY,Assembly,CC Assembly
Lever-1VYN301150-092,COMP LVR,Production,Lever
Lever-1VYN302850-049,COMP LVR,Production,Lever
Cam-507410-001,CAM FOR MTR OHB,Production,Cam
Lever-1VYN302850,INTP LVR,Production,Lever
Wheel-1VCR008439F0001,WORM WHEEL,Production,Wheel
Wheel-GCE7000433P0101,SLIDE WHEEL,Production,Wheel
Housing-GCE7003546P0101,AL HSG,Production,Housing
Gear Assembly-DYA0308134H006,GEAR ASSLY,Assembly,Gear Assembly
Cover-DYB0406713H001,COVER,Production,Cover
Gear Assembly-DYA0308134H004,GEAR ASSLY,Assembly,Gear Assembly
Gear Assembly-DYA0308134H005,GEAR ASSLY,Assembly,Gear Assembly
Cylinder Assembly-61901060960,"120 PET CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-61901011635,"185 EX CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-61901060702,"140 HX CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-61901055173,"105 HX CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-61901060310,"145 HN CL ASSLY",Assembly,Cylinder Assembly
Cylinder Assembly-61901012038,"185 HN EX CL ASSLY",Assembly,Cylinder Assembly
Shaft-61901026668,CRANK SHAFT,Production,Shaft
Cylinder-61901060722,"115 PT CL",Production,Cylinder
Frame-710586807,INT FRM DSK E,Labour,Frame
Shaft-710801150,SHAFT,Production,Shaft
Shaft-70654-8655,SHAFT,Production,Shaft
Shaft-710444797,SHAFT,Production,Shaft
Shaft-710850560,SHAFT,Production,Shaft
Shaft-710806173,SHAFT,Production,Shaft
Shaft-710849545,SHAFT,Production,Shaft
Shaft-710730324,SHAFT,Production,Shaft
Shaft-711163802,SHAFT,Production,Shaft
Nut-710140412,LIFT ROD NUT,Production,Nut
Spindle-710421647,SPND B,Production,Spindle
Spindle-710148690,SPND,Production,Spindle
Shaft-710818823,SHAFT,Production,Shaft
Shaft-710512479,SHAFT,Production,Shaft
Shaft-710657298,SHAFT,Production,Shaft
Shaft-710151338,SHAFT,Production,Shaft
Rail-711190911,ADJ TOOL RAIL,Production,Rail
Shaft-710314342,SHAFT,Production,Shaft
Shaft-710514789,SHAFT,Production,Shaft
Cross Head-710416925,CROSS HEAD LH,Production,Cross Head
Cross Head-710416800,CROSS HEAD RH,Production,Cross Head
Cylinder-20C94229/562,"150 CL",Labour,Cylinder
Frame-89914007301001,GTSD1 FRM,Labour,Frame
Casing-1/142,CRANK CASE,Labour,Casing
Support Stand-5A62A8106100V,S STAND,Labour,Support Stand
Spindle-1VCR006505F0001,AL SPND,Production,Spindle
Cross Head-20C89018/073,CROSS HEAD,Labour,Cross Head
Cylinder-20C94229/574,"305 CL",Labour,Cylinder
Cylinder-C8595427,FL 22 CL,Production,Cylinder
